Description;Intent
Help the needy by informing: Kathmandu Metropolitan City has announced that people from different wards who are facing different problems due to Nisedhagya regarding food or other necessary service will be provided help free of cost from the ward office. The person has to go to the respective ward office to inform the concerned officials about the problem and necessary help in the form of cash or other forms will be given as per need.P.S. People can also use the hotline number of Kathmandu Metro 1180 for any health related problems or ambulance facility.;Surprise

Photo of the day: Fire fighters in action during today's huge fire at Teku's dumping side.;Sad

Goaaaaaal.. Nepal are 1-0 up against Chinese Taipei. Anjan Bista scores in Penalty.Amazing start by Nepal.;Surprise

Breaking: Nepal wins the match against Chinese Taipei by 2-0 goal score in World Cup Qualifiers. ;Surprise

The United States of America has announced to provide 7 million doses of COVID-19 vaccines to 16 different Asian countries including Nepal. It has made a framework for providing at least 80 million doses of vaccines to different countries globally by the end of June and has planned for the 25 million doses in the first phase. ;Surprise

After discharging from Hospital, Former King and Queen of Nepal have expressed their gratefulness towards all the well wishers who were concerned about their health condition. They say, "We are really thankful to all the well-wishers from Nepal and abroad and express deep regards to all the front line health workers and active social workers. We both appreciate all the help provided to Nepal from National as well as International level. We also pray for the better health of everyone and express deepest condolences to the departed souls.";Surprise

Nepali Football team Head Coach, Abdullah Almutairi has dedicated Nepal's win against Chinese Taipei to all Frontline health workers. He also asked all supporters to be patient and get behind the team always.;Surprise

Iron overhead bridge being constructed by the workers and technicians at Baneshwor Chowk in Kathmandu. The popular Zebra Crossing which is crowded on normal days will now be a history.;Surprise

Lockdown and utilization of time: The people in rural areas of Nepal enjoying playing cricket using their limited resources and making the best out of their free time in this difficult situation.;Surprise

Monkeys eating bananas at Tanahun' s Devghat Dham given by The Blood Donors Society during Nishedhagya. Not only humans but animals are also facing problems during this situation.;Funny

Good Initiative by Nepali ISP: Vianet in partnership with FNCCI has provided free Internet at various Isolation centers such as at Aksheswar Mahabihar in Lalitpur and Jain Bhawan in Kathmandu. Providing Internet facility in isolation center allows patients to stay connected with their loved ones as well as facilitates medical staff and systems to provide their services more effectively. ;Funny

Breaking: Nepal Government has decided to celebrate Senior Citizen's Day (राष्ट्रिय ज्येष्ठ नागरिक दिवस) on Every Year's Poush 11.;Surprise

Mt. Everest climbing season is ended for this year's Spring: Around 4 people have died and exact data of successful climb is yet to come. ;Sad

Nepal Government has announced that Tourist Visa for one month will be provided free of cost to foreign tourists visiting Nepal. ;Surprise

Back to back Price Hike:NOC le Petrol ra Diesel ko price Nrs. 2 per litre le hike gareko chha.;Angry

Newly appointed Deputy PM and Urban Development Minister of Nepal, Rajendra Mahato in his office at Singha Durbar. ;Funny

Medical Entrance Exam Update: Medical Education Commission- Nepal has done it's internal preparations for conducting the Common Entrance examination for undergraduate level (MBBS, BDS, BSc Nursing, Pharmacy, BPH etc). MEC is waiting for the notice regarding Nishedhagya from CCMC so that the exam notice can be published. According to the officials, Exam Routine of entrance exam will be published around 3 weeks before the date of the exam.;Surprise

Biratnagar Hit & Run Case Update: The hit and run case at Airport road, Biratnagar is getting viral in different social media. A 35 years old male died and another male from Katahari is seriously injuried. According to claim of different local media and eye witnesses, "The car was being driven by the son of one of the Province 1 Member of Parliament. He and two other girls were in the car and all of them are supposed to have consumed alcohol. They were seen running away after the incident".;Angry

Nepal’s star leg spinner Sandeep Lamichhane has been released by Worcestershire and will not be playing in England's Vitality Blast Cricket as his visa was delayed. He was asking for help few days ago but concerned authorities did nothing about it. Yesterday he came out on social media telling about his frustrations on not being able to play now. He said he was heartbroken. He is Nepali Cricketer with global reach right now and it's sad to see such things happening to him. ;Sad

Happy Children dancing at Bal Mandir, Naxal after recovering well from COVID-19 and returning back to home from isolation. 52 children from Balmandir were tested positive almost 10 days ago and all of them returned home safe and sound.;Surprise

Nepalese Embassy in Beijing in coordination with NRNA, China are sending medical supplies worth NRs 22 crore through Nepal Airlines. The shipping cost will be beared by Nepal government. ;Surprise

Back to Back record in Nepali Share Market: NEPSE has touched its all time highest point (2906.89) & a highest trade ever in a single day with transaction of more than Nrs. 17.27 Arba. We can see high investment on banking sector.;Surprise

Back to back International Help: Australian Government has provided health supplies to Nepal Army for Health workers. ;Surprise

Breaking: Nepal Government le YouTuber ra digital video creator haru lai betting site haru ko advertisement tatkal banda garna ra hatauna vandai notice nikaleko cha vane namanne haru lai karbahi huney vayeko chha.;Funny

Chief of Nepal Army, Purna Chandra Thapa completed successful 1000 days of tenure today. He is trying to bring a lot of good changes in Nepal Army from beginning.;Surprise

Supreme Court orders not to stop online shopping during Nisedhagya: Supreme Court has given an interim order asking government to let E-commerce operations run in Kathmandu Valley with proper precautions until next notice.;Surprise

Rautahat ma Nisedhagya ko time ma bhid gardai DJ bajaudai bihey bhairako aawstha ma Police le Karbahi garna khojda Police mathi nai Dhunga muda (ढुङ्गामुढा) garda 7 jana police injured vayeka chhan vane 3 jana lai Police le arrest gareko cha.;Funny

Breaking: Nepal lost the match against Jordan by 3-0 goal score in World Cup Qualifiers match.;Sad

Struggle for Oxygen & Reality of Our Village:  People carrying oxygen cylinder from Lamjung to Manang's District Hospital Chame as the only bridge at only route between Lamjung and Chame was taken away by flash flood caused by heavy rainfall on Jestha 16. ;Sad

Legendary Madan Krishna Shrestha has been admitted to hospital again after heart problem. We wish him for a speedy recovery. ;Sad

Boudha ko Nayabasti ma bora vitra dead body part vettiyeko cha vane body postmortem ko lagi lagera investigation suru bhaisakeko chha.;Sad

Pashupati area authorities i.e. PADT has released a notice asking social workers to not distribute food in Pashupati area premises after a YouTube video of some social workers were found misbehaving with Saadhus in that area.;Angry

Weather Alert : This year's Monsoon is expected to start around June 13 in Nepal. Experts have predicted more rain as compare to last year and risk of Flood & landslide is also high. Stay Safe and be prepared.;Sad

Miss Nepal World 2018 Shrinkhala Khatiwada has handed over Nrs. 2,50,000 to "Hami Nepal" to help Nepal for oxygen & other health supplies need. Financial assistance was provided by Miss World Organisation to Shrinkhala Khatiwada for her Beauty with a Purpose project. ;Funny

NEB +2 Exam Update: NEB le exam ko lagi discussion garirako chha. 12 ko marking system Int'l criteria sanga match hunu parne vayeko le last year ko jastai certain % ko lagi physical exam garnai parne vayeko le NEB le ahile ko situation normal hudai gayesi decision garna sakcha.P.S. Officials are discussing regarding other option also, let's wait for the official decsion.;Surprise

Happy News: National Transmission Line's electricity has reached Remote Karnali region for the first time ever. Kalikot District's Manma is now connected to National Electricity transmission line and local government there are trying to make it easier for NEA to reach other remote parts.;Surprise

Installation of Pedestrian Sky Bridge in final stage at Baneshwor Chowk. This will save time of a lot of college students and people around the area.;Surprise

Sabita Bhandari Case Update: Local Authorities le wasta nagareko vandai Sabita Bhandari ko justice ko lagi Baluwatar ko PM Office area ma protest garne 18 jana lai Police le almost 3 hrs control ma leyera chodideyeko chha.;Funny

Amazing: 37 Year Old Gosiame Thamara Sithole from South Africa has given birth to 10 kids at once. She gave birth to Seven Boys and 3 girls as per reports & claims in local & international media.;Surprise

Inspirational Journalist & Appreciation Post: Bidhya Chapagain is showing some amazing stories from all around Nepal through Herne Katha Program. Nepal has millions of stories and she is using her Journalism background and Youtube to give us some amazing stories for free. It shows real Nepal and real stories of people. ;Surprise

Mahabir Pun's National Innovation Center have helped to build Mini Oxygen Plant at Bhirkot Municipal Hospital, Syangja in Collaboration with Municipality. The plant is capable to produce 65 Litres per Minute and will help patients around the district with Oxygen Needs. ;Surprise

The first Solar Eclipse of this year is occurring today but it's effect will not be seen from any SAARC countries including Nepal. It is an Annular Solar Eclipse seen from Russia, Greenland and Canada. But it will be seen partially from China, UK and North America and Mangolia.;Surprise

Today is Savitiri Barta celebrated widely in Terai region. Married women wish for well being and long life of their husband. Mata Savitiri is worshipped on this day. Women do "Sorah Sringar" and visit Banyan tree where the roots of the tree are washed, offer flowers, fruits etc and tie red thread around the tree. They finally recite the story of Vat Savitri and end the puja by donating clothes and fruits.;Surprise

Back to Back Big Changes in Ministries of Nepal: 7 New Ministers from CPN-UML and 1 New Ministers from Ja.Sa.Pa have been added in PM KP Oli's new cabinet.;Angry

Nainkala Thapa has become the first female Ministy of Communication and Information Technology in Nepal's history. She was previously a teacher, head of Mahila aayog and is also the wife of Former Home Minister Ram Bahadur Thapa 'Badal'.We wish good wishes for the successful tenure. However, There are just 3 Female Ministers in 22 Minister Cabinet excluding state ministers.;Surprise

Today's Partial Solar Eclipse at sunrise over Lake Michigan at Chicago, USA. ;Surprise

Just In: Nepal will be playing tri series  tournament on ICC World Cup League 2 With Scotland and Namibia from July 20 - 22 in Spain. ;Funny

Amazing Pace: Team of Prashant Jha have successfully installed an Oxygen Plant in just 8 days at Matatirtha Hospital, Chandragiri. It is capable of filling 42-48 big cylinders daily. ;Surprise

Domination by Nepali Team: Another Biggest PUBG Mobile Tournament in S.Asia( PMPl SA Championship) has started. Nepali team DRS Gaming are in 1st position after 6 out of 24 matches with 1 Chicken Dinner. ;Surprise

Medical Student with IT Achievement: MBBS second year student from Janakpur, Niva Shah has received bounty worth $1000 by Facebook for finding bugs/errors. ;Surprise

Big Day: Nepal is playing against Australia in today's World Cup Qualifiers match. Nepali Head coach has already said, "We will play attacking game. Even if we lose, we want to lose with dignity".;Surprise

Just In: Monsoon has entered Nepal from today with the effects seen in Province 1, 2 and Bagmati Province due to the effect around Bay of Bengal. It is expected that monsoon effect will be seen in other parts of the country as well in a few days with light to heavy rain, according to MFD-Nepal.;Surprise

Dhanusha ma Bakhra charauna gayeka 5 jana young kt haru ko Pokhari ma dubera death vayeko cha vane Police investigation is going on.;Sad

China's Zhurong Mars Rover takes it's first Selfie on Mars. The photo was taken by Wireless Camera deployed by the rover. ;Surprise

On This day in 2065 BS, then King Gyanendra left Narayanhiti Durbar Palace after 100s of years of Royal History.;Sad

Alert: Monsoon has already started in Nepal. More rain is expected as compare to last years so flow of water may increase in small & big rivers of different areas of Nepal, according to Flood Forecast Department.P.S. Everyone is requested to be alert while they are near the river areas.;Surprise

Needy haru lai relief distribution ma hinirako aawstha ma last night Surkhet ma Gyanendra Shahi ko group mathi attack huda kei injured vayeka chhan. Local Police Says, " 2ta group bich jhadap vayepachi kei local Youth lai control ma lera investigation bhairako chha". Gyanendra Shai le vane afu lai NeKaPa ra KP Oli ka karyakarta le kutpit gareko arop lagayeka chhan.;Angry

Big Achievement: A Nepali Software Rahat has received around Nrs. 1.17 crore from UNICEF as investment through UNICEF Investment Fund. This software manages donation (digital cash and vouchers) in a transparent way through mobile based blockchain technology. It will help decrease corruption in relief distribution sector. ;Surprise

Nepali Football team Coach Abdullah Mutairi after last night match with Australia said, " I am happy with my boys Performance, they fought till the end like Gorkhali. They had the same confidence till the end. Our young team's future is bright." P.S. Australia is in 41 position and Nepal is in 171 position on FIFA World Ranking. ;Surprise

Exam Update: TU is planning to conduct the postponed Annual examination of Bachelor's 1st year by the second week of Shrawan but students and the department are facing problems regarding the filling of online forms.  Notice regarding whether to conduct physical exams with nearest centre or to conduct the exams online will be published by first week of Ashar, according to Officials. P.S. The postponed annual exams of second year students will be completed first before conducting first year annual exams.;Funny

Yarsagumba season: People collecting Yarshagumba at Dolpa Jagadulla's Patan area. Yarsagumba is one of the most expensive fungus in the world costing more than 10-12 lakh per KG in international market. ;Surprise

Just In: Surkhet District Court le sabai YouTube ra social media bata Pidit Raute Female haru lai harass gareko ra tyo related video hatauna lagauna ko lagi suchana jari garna Home Ministry lai aadesh diyeko cha.;Angry

Humla ko Chankheli village ma Dai parne 16 yrs old kta le 10 year old baini lai rape garera vageko aarop ma police le kta ko khoji gardai investigation suru gareko chha.;Angry

Inspirational Story of One handed Man: He is Jivan Pandey from Butwal who lost one of his hand while he was young but he didn't give up and started selling shoes and slippers in haatbazar. He used to go to different haatbazars on their respective days to sell. Then came Lockdown which made life difficult for him but nothing stops people who wants to do something. He came up with the idea of welding rods to his scooter and carry his products in bags and visit different places to sell his products and starting making money again to support his family. ;Sad

One of the most popular YouTuber from India, Bhuvan Bam has lost both his parents due to pandemic. Most of his videos used to trend in Nepal also. He made millions of people laugh with his videos but he is going through the worst time of his life right now. We hope god gives him enough strength to come back out of this grief.;Sad

Appreciating Our Hero: Our star goal keeper Kiran Chemjong made so many amazing saves against all the teams we faced especially Jordan and Australia. He led Nepali football from the front and made sure that each game ended in respectful scoreline. His amazing saves are viral all over social media etc. We also want to appreciate all the players who fought till the end in every game not giving up and thanks to coach Abdullah Al-Mutairi for injecting that confidence and energy in the team. ;Surprise

Highway Update: One way transportation has been blocked at Siddhartha Highway due to the landslide at Bhalupahad, Syangja in the morning caused by heavy rain at night. It will take some time for two way transportation as the work is going on to remove the blockage.;Sad

Just In : CDOs of Kathmandu valley are conducting meeting today evening regarding whether to extend the Nishedhagya with same modality or impose it with some changes in the rules.;Funny

Back to Back record in Nepali Share Market: NEPSE has touched its all time highest point (2983.10) & a highest trade ever in a single day with transaction of more than Nrs. 19.55 Arba.;Surprise

Breaking: The CDOs of Kathmandu Valley have decided to extend the Nishedhagya for further 1 week in the valley with some changes in the previous rules:The Grocery stores, Fruits and Book stores will be opened till 11 AM in the morning.Hotels and restaurants can only provide home delivery and take away service. Online delivery service can operate from 7 AM in the morning. EDV, Visa and other procedures for foreign countries like Embassy service will be simplified.Construction work can be operated after 4 PM.;Sad

New Case Alert: 1,694 new COVID-19 cases confirmed in Nepal. Now, the total number of COVID-19 confirmed cases in Nepal reached 608,472.;Sad

SEE & Class 12 Exam Update: NEB le Board exam kasari garne or evaluation system kasto banaune vanera experts ra officials haru sanga discussion suru gareko cha ra yesko report few weeks ma NEB ma submit vayepachi final decision garne planning chha.;Surprise

Back to back Price Hike NOC le Petrol ra Diesel ko price Nrs. 2 per litre le hike gareko chha.Kerosene ra Aviation fuel (domestic flight) ko ni pr Rs. 2 per litre le hike vayeko ho.;Sad

Dhurba Thapa, the Chairman of Himalaya Organization has decided to provide three Jeeps free of cost for the Ambulance service of people in the ongoing situation out of which he has already handed over and another jeep will soon be handed over for the 100-bed capacity hospital to be set up in Lekhnath, Pokhara in collaboration with Metropolitan. These Jeeps will be used as an ambulance to make it easy to bring the patients from rural areas. We are grateful for his contribution for the people in this difficult situation. ;Surprise

Positive Side of Nisedhagya: Golden Hour & beautiful Kirtipur city, illuminated with the glimpse of light along with the mountain range. ;Surprise

Wow.. Anshika Sharma is representing Nepal in final event of Miss Universe tonight in USA. Tomorrow Morning 5:45 AM Nepali Time. Best Wishes. ;Surprise

Nepal Airlines is flying to Beijing for 3 consecutive days to bring around 1600 Oxygen Cylinders and around 1600 Oxygen concentrators. It has already flown to Beijing last night after bringing cylinders from Oman. ;Surprise

Finally, 560 Oxygen Cylinders managed by Nepali Citizens working in Middle East/Gulf Countries have arrived in Nepal. These cylinders will be handed over to Nepal Government today. ;Surprise

Ahile ko situation ko faida uthaudai Birami sanga chaine vanda badi fare ( भाडा) liney 2 jana ambulance driver lai police le Parsa bata arrest gareko chha.;Angry

Baishak Month ma Nepal ma Lightening ( चट्याङ्ग) lagera 21 jana ko death vayeko chha vane Aaglagi bata 7 jana, Animal attack bata 3 ra Hawahuri bata 1 jana ko death vayeko.;Sad

WHO's director has said that, WHO is really concerned about rapidly increasing cases and lack of enough hospitals in different countries including Nepal. He also draws the attention of concerned international authorities to understand the situation of Nepal and help accordingly.;Surprise

Breaking News: Kathmandu Rayzrs wins the title of Nepal Super League after winning the final match against Dhangadi FC by 1-0 goal score.;Surprise

PM KP Oli has invited experts and people from private sector to discuss about ongoing pandemic and how to handle the crisis in a more effective way. The meeting is scheduled for today evening at Baluwatar.;Surprise

Amazing: China becomes the second country in history to land a rover on Mars as it's Zhurong Rover landed on the Mars as a part of Tianwen-1 mission. Congratulations to all the people involved to make this mission a success. ;Surprise

Anshika Sharma representing Nepal in Miss Universe 2021 in Preliminary Rounds Competition last night. She is getting a lot of appreciation from pageant pages. ;Surprise

Nepal Airlines is flying today to bring around 500 oxygen cylinders which was collected by Nepali working in Middle East/Gulf. ;Surprise

PM KP Oli virtually inaugurates International Convention Center at Godawari, Lalitpur. It has capacity of almost 3000 people and finishing/work of outer part of is still left. ;Surprise

PM KP Oli le feri PM vayesi baseko Minister haru sanga ko meeting ma birodi haru le Government le ramro kaam garda asafal parna khojirako ra Government le yesto bela kaam garna khojda support nagari janata haru lai ultai mislead garirako vannu vayeko cha.;Funny

Photo of the day: PM KP Sharma Oli at Prime Minister office, Singha Durbar after being reappointed . We wish him for a successful tenure. ;Funny

PM KP Oli takes Oath, becomes PM of Nepal again: PM KP Sharma Oli and President Bidhya Devi Bhandari during Oath taking ceremony held at Sital Niwas. ;Funny

Popular Forbes Magazine has released a list of Highest Paid Athletes in the World 2021. UFC Fighter Conor McGregor tops the list with $180M earnings followed by Lionel Messi($130M) & Cristiano Ronaldo($120M).Lebron Games, Neymar Jr. and Roger Federer are also in Top 10. ;Surprise

People are celebrating Eid-ul-Fitr at home by maintaining physical distance: Meanwhile, Group of Nepali Youth have also started a campaign #ThankingthisEid to give tribute to friends or frontlines or anyone who has been an inspiration during this tough time. ;Surprise

There are currently 105,207 COVID-19 active cases in Nepal where 321,518 have already recovered and death count is 4466 (Total 431,191 confirmed cases). Total 2,712,562 RT-PCR tests done till yesterday evening.;Sad

KP Oli has been re-appointed for PM of Nepal for the 3rd time as No one has claimed majority to be next PM. He is supposed to take oath today afternoon. ;Funny

Struggle for Oxygen Cylinder: Man carrying Cylinder to refill at an oxygen factory in Kathmandu. :( ;Sad

Nepal Government has decided to extend the period for stopping domestic flights till next notice and the flights related to cargo, rescue and other special flights need permission from CAAN to operate.;Surprise

Breaking: Nepal Rastra Bank has announced that it has removed limitations imposed on dollar exchange rates for the import of Oxygen Cylinders and other life saving health equipments till the end of Ashar. Only up to USD 35,000 or its equivalent is convertible to foreign currency at a time but such limit has been removed for life saving equipment so that they will reach Nepal as soon as possible.;Funny

Happy 102 birthday to only person to win Madan Puraskar for 3 times, great writer of Nepali history & culture 'Satya Mohan Joshi'. ;Surprise

Nepali working in Middle East/Gulf countries are planning to send 550 oxygen cylinders to Nepal which will most probably arrive in Nepal by 8 PM on Saturday. The cost will be almost NRs. 75 lakhs. They collected the money and will manage the cost by themselves as much as possible. They say, "The news of the deaths of people due to lack of oxygen in Nepal had made us worried so we took the initiative." The love of the Nepali Youth who are working hard in Middle East deserves huge respect for their thoughtful contribution. ;Surprise

SEE Result Update: NEB is in the process of formulating the evaluation procedure (कार्यविधि) for this year's SEE results which will be finalized soon. After that, Schools will have to send the student 's evaluation to the District's Education Development Unit and Coordination Committee till Ashar 20, according to the Officials.;Surprise

Achievement: Nepali PUBG team DRS wins 3rd position in PMPL SA Championship and receives almost Nrs. 21 lakhs. Currently, DRS is most successful PUBG Mobile team from Nepal and they have won almost Nrs. 50 lakhs in last 3 months. ;Surprise

Big Achievement: Security Research Engineer Yogesh Ojha is becoming the first Nepali to present his research at world's top security conference BlackHat USA and Defcon. His open-source security project called reNgine has been selected to be presented there. Nepalese youths have been doing amazing work in World's IT security scene. We have amazing talents that have helped world's top companies like Apple, Facebook, Microsoft etc. Nepalese youths have also been helping many law enforcement agencies in the world. ;Surprise

Big Decision: Newly appointed Gandaki Pradesh Chief Minister Krishna Chandra Nepali Pokhrel has made a decision to give free Cancer treatment to needy females with Breast Cancer, Cervical Cancer & Uterine Cancer. We hope it gets implemented well.;Funny

A meeting of World's Seven powerful countries ( G7 ) have promised to donate 1 Billion vaccines to needy and developing countries around the world. They have also agreed to support Green Revolution and limited the rise of Global temperature to 1.5 degrees.;Surprise

Ziona Chana, a man who had 38 wives, 89 children and 36 grandchildren has passed away at the age of 78. We express our deepest condolence on his demise. ;Sad

Job Opportunity: Indian Army le SLC pass vayeka Nepali females (17.5 yrs to 21 yrs old) lai ni bharna (भर्ना) liney vayeko chha. Minimum height should be 152 cm. Online Application Submission: June 06 to July 20.;Funny

Nepali Football Team Captain Kiran Chemjong shared his experiences after the World Cup Qualifiers Matches. He says, "It was a great challenge and an opportunity for us to play with such big teams and our team has improved a lot. The guidance, motivation and direction from our coach Al Mutairi is a great source for our improvement along with the team spirit of the players. We were even appreciated by Australian coach for our progress, We have more to go. Lets hope for the best." ;Surprise

Tribute to Frontline workers: Candle light program in front of art made at Sky Bridge of Tundikhel area to express gratitude and honor to frontliners.;Surprise

Weather Alert: There will be normal to heavy rainfall continuously for three days in maximum places of Nepal. This will increase the risk of floods and landslides in different areas. We request everyone to stay safe and alert especially near rivers and low altitude areas.;Sad

Flood in Setiveni bazar at border area of Syangja, Gulmi and Parbat due to overflow in Kaligandaki river and Setikhola caused by continuous rainfall from last few days. ;Sad

Oppurtunity for SEE appeared students: NEB le SEE ko internal evaluation bata result nikalne decision gare pachi students haru Top +2 college ko entrance ra Scholarship preparation sangai Course ra College selection ko lagi worried dekhiyekale UTC le "Crack Your Entrance with Career Boost Up Course" run garna lageko cha jasma Daily Live class, Weekly Mock Test, live Test sangai weekly 2 days life skill training haru provide gardai chha.;Surprise

Heavy flood in Indrawati river, Melamchi after continuous rainfall. #StaySafe ;Sad

Huge flood at Sindhupalchowk: Helambu- Melamchi- Jalbire- Dolalghat area ma ekdum thulo flood ayeko cha vane dherai ghar, goth, bridge haru sangai kei manche haru ni bagayeko khabar chha.;Sad

3 Chinese, 3 Indian and 2 Nepali nationals working in Melamchi Khanepani project are still contactless due to yesterday's big flood. The search operation is still on and damage assessment is also going on at Melamchi Project.;Sad

Pray for Manang: Manang district has greatly been affected by floods due to heavy monsoon rain. Around 53 houses have been damaged. Ward office, Police station and Health post in Naso Rural Municipality are also damaged. 5 suspension, 1 Belly, 3 wooden bridge and Hydropowers at Chame and Simang have been damaged. Telephone and electric poles have collapsed and the transportation has been blocked, according to CDO of Manang.;Sad

Interesting: Nepal world kai dherai ChauChau ( Noodles) khane desh ko list ma 14th position ma pareko chha, according to the World Instant Noodles Association.;Funny

Sad News for Real Madrid Fans: Legendary player and captain Sergio Ramos is leaving the club after 16 years of Service. He played 671 games and scored 101 goals for the club. ;Sad

Flood alert again in Melamchi: Due to continuous moderate to heavy rain in Shermathang & Dhaap area today, Melamchi area and other areas might experience Debris Flow.;Sad

Railway Update: Minister of Physical Infrastructure and Transport said, " If the set target is met and if the situation is less problematic, Railway will be inaugurated by mid Ashar by PM KP Sharma Oli.Necessary arrangements regarding railway like ordinance, laws, technicalities and security has been made through Field visit and coordination with concerned authorities. ";Funny

Big Day in Cricket: First ever ICC World Test Championship Final will be played between India and New Zealand from today.;Surprise

Amazing: Star Footballer Cristiano Ronaldo becomes first person/athlete to cross 300M followers on Instagram.;Surprise

Sindhupalchowk Flood Update: Flood in Sindhupalchowk has swept away many houses. More than 20 people are still missing and the process of searching them is going on and 3 dead bodies have been found already till now, according to the Official.;Sad

Weather Update for next 24 hours: Light to moderate rains in different parts of Nepal as well as heavy rains with thunderstorms in one or two places in Province 1, Bagmati and Sudhurpaschim Province is expected. This may cause landslides and debris flow in the hilly areas of these province.;Surprise



Good news for Nepalese living in Australia: Australia Government has decided to increase Minimum wage of Workers by 2.5%. The new minimum wage will be AUD 20.33 per hour & 772.60 Australian dollars per week. This rule will start from July, 2021 as announced by Fair Work Comission, Australia.;Surprise

Rupa Sunar Case Update: Caste ko karan room rent ma na diney gharbeti birudda Police ma case file vayeko cha vane investigation ni suru vayeko chha.;Surprise

Breaking Sad News: Helambu vanda mathi Jhameko khola futera feri Melamchi area ma huge flood ayeko chha. Melamchi Bazar, Bahunepati, Dolalghat lagayat ka riverside area haru high risk ma chhan.;Sad

Morang ma wild elephant sanga selfie lina khojda ultai hatti le attack garepachi 21 years old male ko death vayeko cha.;Funny

Warning Notice from Dolakha: China ko Rongxia area ma pahiro aayera khola thuniye paxi futera jati bela ni flood aauna sakne vandai Tamakoshi khola waripari basne lai alert basna vaniyeko cha..;Sad

She is Basanti Pariyar who was attacked by Knife 6 times and acid after that. She has recovered and living happily, working hard at Nepal Oil Corporation. She is more confident now. She said, " I am ready to be face of brands if they want, this will give a message that everyone is beautiful and beauty lies inside you, what you think and not only your outer dress or face.";Sad

Good News: Christian Eriksen was finally discharged after a successful operation and he first visited his Denmark national team after which he will go and spend some time with his family. He sent a message to all his well-wishers which says, "Thank you for the massive number of greetings. It has been incredible to see and feel. The operation went well, and I am doing well. It was really great to see the guys again after the fantastic game. No need to say, that I will be cheering on them on Monday against Russia." ;Surprise

Sad situation of Helambu, Sindhupalchowk: People in remote Helambu Gaupalika are living a painful life after recent flood as relief has not properly reached there and they are experiencing food shortage. There is no electricity & road connection is also damaged which is making it more difficult for people living around that area. We request government and organizations to send relief materials in those areas also.;Sad

Amazing: The earnings of Bytedance which owns Tiktok has doubled in 2020 and reached around $34 Billion. The reports also say that Bytedance had about 1.9 billion active users until December 2020 as per Wall Street Journal.;Surprise

Water level at Mahakali River, Parigaun has also crossed the alert level and about to reach danger level, more rain has been  forecasted in the Mahakali River area. People living in riverside are asked to stay alert atleast till tomorrow morning.;Sad

Kathmandu valley ma Nisedhagya feri 7 days ki 10 days add garne vanera CDO haru sallah garirako chhan vane kei sector haru ma loose huney anuman gariyeko chha.;Angry

This photo of Mustang district is being viral in International media where health workers from Mustang had to take the risk of crossing flooded Chattang river to get the vaccines. Huge respect to all the Frontliners.;Surprise

Melamchi- Sindhupalchok Flood Update: Death toll due to flood in Sindhupalchok has reached to 3 (2 Chinese and 1 Indian citizens). 21 people are still missing where 2 are Indian, 1 Chinese and remaining are Nepali citizens. ;Sad

One of the world's largest aircraft Boeing 747 aircraft arriving in Kathmandu which brought USAID for Nepal & Pakistan. Famous Aviation Youtuber Sam Chui was also in the aircraft. ;Surprise

Interesting: Ahile Chalirako EURO 2021 ra Copa America ko matches haru Dish Home ko action sports channel ma both Nepali ra English commentary shait aairako chha. ;Funny

Sindhuli ma Police lai Rs. 100 Ghus dina khojne micro driver lai Police le Rs  10,000 fine tirayera jata bata aayeko tetai pathaidiyeko cha..;Funny

Police Office mai Woman lai misbehave  gareko aarop ma Jwala Sangroula sahit 3 jana lai Police le arrest garera investigation suru gareko cha.;Angry

Sad News: Dadeldhura ko remote village ma Khop liyera jadai gareki almost 25 yrs old female health worker ko dead body 3 din paxi jungle ma vetiyeko cha. Police investigation is going on.;Sad

Rare incident and big heart: Locals saving a cow stuck in Debris of current season flood. We have seen many videos of people rescuing other people but this is rare where a group of youths brought out a cow stuck in mud.;Sad

Monday & meaningful picture of Shivaji's Statue after flood in Melamchi. We are also responsible for what happens to us. ;Sad

June 21: Today is the longest day of the year. ;Surprise

A sad old man from Helambu sitting at the bank of the river after his house got swept away by flood. The pain and the difficulties that the victims are facing due to flood in this pandemic is far from our imagination. ;Sad

MoHP-Nepal has issued a press release saying that K417N mutation called AY.1 has been found in Nepal also, as per recent Gene Sequencing result. Please refer to official notice for details.;Sad

Medical Entrance Update for MBBS, BDS, BSc Nursing etc: Medical Education Commission has released a notice asking students to select suitable center for their upcoming entrance examination by going to their website. Applicants can choose centers from 9th Ashar 10 AM to 10th Ashar 5 PM.;Funny

Nisedhagya Update: Private Vehicles ra Taxi haru ma odd-even rules aaye sangai voli even date (i.e Ashar 8) vayeko le voli even number plate ko vehicles chalauna paaine chha.;Surprise

Nisedhagya Update: Private Vehicles ra Taxi haru ma odd-even rules aaye sangai voli even date (i.e Ashar 8) vayeko le voli even number plate ko vehicles chalauna paaine chha.;Surprise

Rautahat ma Khasi ko masu vandai Bakhra ko masu bechna 2 jana lai Police le arrest gari karbahi process agi badayeko chha.;Funny

